text,cachaca
"Aproveite oferta especial em todos os produtos da loja com 10% de desconto , basta inserir o cupom bemvindo10",False
Toninho Zoreia,True
Brover 1000 graul,False
Eu quero uma dessa  Eu nunca  ganhei  nada mesmo,False
Caramba,False
Quero provar,False
Guilherme Mazaro Natalia Costa Valente Teixeira Heloisa Costa Valente,False
Boa noite gostaria de saber aonde fica.,False
Eita que vai ser bão,True
Jean Michel Feiteira,True
uhuuuu to nessa.,False
Uma das melhores cachaças do Brasil,True
Velho  barreiro sempre...,True
"Verônica Maria Ramos Do Nascimento França, Erick Santos Araújo",False
Adriana Santos,False
Marcel WanessaLorençoni Adriano Antero EvandroBetine Edivaldo Silva OnivaldoViani Carlos DonizetiSotocorno,False
Tenho da amarela 6 garrafas,True
🤦‍♀️,False
Parabéns!!!!,False
"Luiz Cremones, Matheus Lazari, Cleber Dainese olha os caras na TV",False
Qunto e mana uma,True
Só o Leonardo lindoooo.ja e tudo,False
Encontra-Se em supermercados ?,False
"Alvinho Romão
Luiz Antônio Nicodemos",False
Vcs deviam marcar presença na feira orgânica de casa forte..,True
Eu já fui,False
A Germana!!! Uma das minhas favoritas!,True
Delícia,True
"Parabéns, Wilson! Fico felizão pelo seu sucesso!",False
Um luxo,False
Quanto custa o barril,True
Estou aguardando...,False
Qual o preço das três?,False
Leslea Ribeiro,True
Não vou comentar,False
Merecida vitoria felicidades mil,False
Todas,False
Claudionor!,True
https://www.cachacarianacional.com.br/clube-cn,True
Reconhecimento merecido dentro e fora do Brasil. Parabéns pelo conjunto da obra.,False
Adoro essa pinga é uma delícia,True
Lindo,False
princesinha da família Garoa Odin  kkk,False
Queremos Eduardo Costa,True
Tatiane Alves,False
Talita Vicente Miguel Luiz Fernando Conrado,False
kero um  barzinho desses,True
Top,False
RESERVA DO GERENTE...OURO....,True
Endereço da garafaria,True
Dia todo,False
Francisco Salles,True
"Excelente cachaça, tem retrogosto de nem, fantástica.",True
E a Prazer de Minas é MUITO TOP!!!!,True
Ai simmm eu quero,True
Dalvane Oliveira,True
Faltou o Gustavo Lima! 😃,False
Bau de Nesio Neide Sousa Kleber Santiago Eurico Pena,False
Boasinha salinas mg,False
Tiago Santos de Jesus Filipe Akim Asbbaro Sérgio Gonzaga,False
Como faz pra comprar?,False
Orange sea !!!,False
Parabéns minha querida amiga... muitos anos de vida e muita saúde! Te adoro!  Que o seu dia seja colorido como os coquetéis! Bjs...,True
Parabéns à todos que fazem da cachaça uma bebida nobre e que bebem com moderação. Tim Tim à cachaça patrimônio nacional do Brasil!,True
"Danrlei Fernandes
Dryk'a Fernandes",True
Welber Bernardino,False
"Uau! Que beleza! Parabéns, parabéns!",False
"Plantei esses dias 👏🏻👏🏻👏🏻👏🏻👏🏻
Quanto tempo pra brotar?",False
Bruna Braga aceito pra coleção....,False
Querooo,False
Elma Regina fica ótimo assim.,False
Valeu Euclides  Obrigado.,False
olha ai Luizinho Fiorese,False
Luciene Rosa,False
Dó faltou o Eduardo costa,False
Eleandro Alves de Araujo,True
Ainda não experimentei essa,False
"""Marvada""!😆😆😆😆😆😆😆😆😆😆😆😆😆",True
Parabéns Oto,False
Show,False
"Ainda mais se for a bebida que tomava todos os fins de semana com a galéra da Rua Alfio Rossi feito com 2 doses de pinga envelhecida ou rum, 2 doses de limão e curaçau blue servida em uma taça com limão e sal na borda, sabado de manhã o Engenho Dom Taparro era nossa primeira parada para comprar as bebidas para fazer a festa...",True
É isso manda essa tentação pra cá vamos dá uma provada eu quero ganhar,True
"Grande abraço,seu Moá!!!!!! Felicidade,saúde e sucesso!!!😍😍😍😍😍",False
DEVE SER MUITO GOSTOSA Heloisa Maria Alex Sunen,True
Ricci Pereira,True
"Já fiz caipirinha de café, esse é diferente vou fazer com certeza",True
A verdadeira.,False
Não vou perder 😍,False
"Onde existe?
Em outro mundo?",False
"aaain, eu quero! vcs mandam pro correio?",False
Michael Diniz OLHA ISSO ...,True
"Mas ""ispia"" quem deu as caras!? Para mim essa cachaça é a melhor. #SeletasóoOuro",True
ai sim,True
"Amburana e 7 madeiras, difícil escolher",True
Salinas e ferreira muito bom,True
Tiago Dias Modanez,False
Eu acredito que deve ficar ruim kkkkkkk😋😋😋😋😋😋😋😋👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼🙏🙏,True
Show...,False
Mariza Scariotto,False
Onde encontrar? Estou em Gravatá. Elk Sanhaçu tem IPA??,False
Minhas JAPI chegaram hoje! Muito boa 👏 parabéns aos produtores.,False
Eu sabia que ninguem iria prestar atenção na cachaça 🤣,True
Delana Oliveira Renan Luz 🤤,False
Olha isso amor Marcelo Bená 😂😂😂,False
Hum 😋😋😋😋,True
Então precisamos encontrar.... huuuuum fiquei com vontade!!!!,True
o meu endereço e rua missouri n 125 bairro dona alexandrina cep 56320850 petrolina pe ficarei muito grato isso e se vc manda,False
eitaa coisa boa é hoje que nao lavanto mais kkkkkkkkkkkk,True
Canarinha,True
Carmencitta Carmem!!!!!!!!,False
Todas,False
Fernanda Mendes,False
Essa ainda não tive o prazer de experimentar. Ainda terei oportunidade. Rafael Araujo está brilhando nas degustações.,True
Guilherme Martins Oliveira Diego Tarley Nascimento,False
Kkkkkkkkkk,False
Cachaça Pecanha,True
Eita que deu vontade de provar,True
Renato Nascimento,False
"Kkkkk , Olha aí Gilvan Gomes Paulo Roberto Dos Anjos Oliveira , essa deve ser top !",False
Patricia Pires olha mais uma receitinha,True
Luciene Pedretti quero,False
José Carlos Duarte,True
https://youtu.be/aabRaJGcEm4,True
Andressa,False
Vai ser maravilhosa mais chama Eduardo Costa também. Beba com moderação!🤣,True
"Tiê
Serra da Almas
Século XVIII",True
simplesmente deliciosa...,True
Muito bom trabalho de vocês parabéns,False
👏👏👏💯💯💯🤩🤩,False
"Tereza, estas foram as ""autoras"" da tábua de degustação !",True
Que linda !.Quero !,True
Com certeza bebê 😍😍👏👏,False
Danilo Magalhaes Larissa Ruiz,False
Aguardente é até 39 depois disso cachaça aquardente é mais fraca ok,True
Rafael Ribas Galvão Ja experimentou essa ????tão bonita a garrafa !!,True
Jessica Mayara. Liliane Oliveira,False
Audemário Prazeres,True
Tremenda pena...,False
Elaine Claudino Jaqueline Ribeiro,False
Cachaça e torresmo combinação perfeita!!!,True
Claudionor,True
Kelly,False
Um luxo,False
Conheço esse lugar lindo! !! Moro perto.,False
Agora ía bem.,False
Legal esse kit!!!!!!👍👍,False
Cleber Cabral Nunes,False
"Os meus coquetéis com cachaça têm feito sucesso na Macaúva portuguesa. Brasileiros, portugueses, norte-americanos, alemães, espanhóis, italianos, todos amam bons drinks cpm cachaça. Mas, pessoalmente, ainda prefiro beber a minha pura.",True
Século xx  ótima.,False
Emerson Santana,False
https://youtu.be/DU1eCe4JDUY,False
Camila Pegado,False
Tá ok aqui tambem,False
"Sérgio Souza bora fazer pra nós 😋
Patricia Aparecida Siqueira",False
Deve ser divina essa preciosidade .hummmmm,True
"Oi, Euton clique na foto do produto que você será encaminhado para o site.",False
Olha isso Amanda Cleber,False
Maravilha adoro,False
sou de Piracicaba parabens pela pinga,True
"Brasileiro tomando cachaça importada kkkkkkk a melhor e do Brasil mrlhor mundo nao tem jinguem cara,e vc ja ta americanizado nee kkkkkk",True
"Adoro Gabriela!!! Em agosto estarei em Paraty ""bebendo-te""!",True
Vc vem junto c a bebida bjs,True
Nenhuma surpresa!,False
"Orgulho mineiro.
Vale verde",True
Eu quero,False
Essa não tenho ainda....,False
Denise Feliciano,False
No copo,True
Biatriz Vieira 💁‍♀️,False
Só uma??,False
Delicia !!! Vou fazer...,True
Não consegui notar a receita passa muito depressa,False
"kkkkkkkkkkkkkkkkkkkkkkkk...Luciana Nunes, tbm é Nômade rsrsrsrs..Adoreiii",False
Elaine Cristina,False
Kd o Eduardo Costa,True
Washington Lacerda,True
Up.,False
Grande Dr João Farias...,True
Linda..,False
Eu quero muuuuiiiito,True
Mara de Souza,False
Também quero por favor,False
Anderson Ferraz,False
Provei essa cerveja da Sanhaçu e é um ESPETÁCULO,False
Deu até água na boca,True
Parabéns pela cachaça e Decoração e recepção  🍸,True
boas festas  \o/////////,True
Comprei uma Usina Velha quando vocês fizeram promoção dela. Agora deu mais vontade de abrir.,True
"da  minha querida Torre de Pedra, para minha cidade São Caetano.",False
Celeta,False
essa é reserva especial dos parentes mineiros uai,True
Chique,False
Wagner S Ribeiro aquele vc fez!,False
Este são fortes!,True
se eu chegar ai não da tempo.,False
Maravilha!,False
Salinas umburana,False
Primerito...kkkkkk,False
Greice Sena Ilma Sena,False
Vem ni mim sua diliça...,True
Natal Filho Thayssa Tanner,False
Tem que por essa Marcos Zuppa,True
"Este é o grande lançamento da cachaça prosa mineira em 2018,",True
Delícia!,True
Qual valor,False
Onde está este stand que local ?? Qual evento ?!? Pode informar ?!!kkkkkkk,False
Ligia Ciantelli Pereira Barretto Elis Andrade,False
"Max Silva , essa eu vou experimentar! Com certeza!",True
A Gabriela tem aqui na loja da Cachaça é Presente!!!,True
Por que o post não está em modo público?,False
Adoroooo,False
A prá da água na boca hein,True
Essa eu conheço td de bommmm,True
Olá Guilherme Zimmermann ! Temos a cobiçada sim! Acesse: http://migre.me/hIevP,True
"Cachaça triumpho, de PE",True
"Um Abençoado a Todos Os Fabricantes Das Melhores Cachaça De Salinas Para o Mundo Oi Minas Gerais Abraço Meus Amigos Seu 
Antônio Rodrigues 
Alô Xavier",True
https://www.facebook.com/criseluan/posts/707612722648184 eu querooooooo,False
Dois gatos. ..,False
Bebida chique...,True
Marcelo Pessanka Sucena e eu tomamos,True
Cassia Barcelos me da um de Natal ? Por favooor 😍😍😍❤,True
Amo tds cada qual em seu talento,False
"Eu quero, onde compro?",False
Gente!! Deve ficar uma delícia... vou fazer.,True
"Essa eu aprovo porque é excelente cachaça q eu já tomei , agora me deu água na boca,hummmm",True
essa e boa,True
Boa noite manda uma cachaça aqui em casa com máquina de cartão de Bebito para pagamento na entrega  abcs João Manuel Joao Rodrigues Filho Rodrigues,True
Quero,False
É fácil o acesso para chegar aí,False
Vai ser bom demais júnior,True
boa e gostosas,True
Gato,False
Qualquer uma. São todas maravilhosa. Who Who Who.,False
São demais kkk,False
Andre Santos,False
Werneck armazenada em  jequitibar,True
Bebi tanto que agora que tou em condições de responder cachaça nega flor perdi até o almoço rsrsrs,True
hummmm nesse tempinho de chuva!,False
Parabéns meu amigo Rodrigo,False
Wilson Silva kkkkk,False
Eitaaaaaaaaa tudo de bom!,False
Quanto custa este barril de cinco litros,True
Cachaça boa demais da conta,True
"Olá, fiz caipirinha de banana com a cachaça Tatuzinho e ficou ótima. Segue o vídeo https://www.youtube.com/watch?v=PD6ZyIf_kTc",True
Sanhaçu...Sucesso Nacional!,True
"Destilados envelhecidos em amburana, bálsamo, jaqueira e jequitibá. Há alguns anos escrevi sobre isso. Por que não envelhecemos nossos vinhos também nessas barricas?",True
Na onde tem em bauru?,True
"Isabel Ka, Eloisa Eduarda Gonçalves,  com a cachaça Companheira teremos uma linda companhia o ano inteiro.",True
Tallyta Barduchi,False
Oba ... hoje tem Cachaça Ipueira!!! Vamos que vamos !!,True
"adoro,qual o valor esse 5 litros?",True
"Bom dia! Como faço pra comprar essa cachaça?, tem site de vendas?",True
Que legal!!! Amei...,False
Nossa deve  ser muito Boa  co,True
"Emilio Castellar Macedo Foureaux vou mandar a receita!!! Se quiserem provar, venham aqui para recife com marcia e as filhotas !!! Vai ser doce mais praia!!! Quer melhor ??? Kkkkk",True
Aqui a Ficha de Avaliação Sensorial:  https://goo.gl/AQE5KH,False
Deve ser muito louco esses barril de cachaça parabéns,True
Leandro Vieira,False
"Tomei,é ótima!!!",True
👏🏼👏🏼💪🏼👍🏼🍀🥃,True
😋🤩,True
Sagatiba!,True
Rita Sala Rafaela Leopoldo,False
Parabéns!! Delícia...,True
Não lembro não kkkk,True
"Olha, amor Jorge Duarte Lima",False
Maria Teresa Junqueira Meinberg muito especial!,True
Onde fica.,False
Juliano Silva,False
Peixe frito pra cachaça branca ou envelhecida no jequitibá ou maçã de peito cozida com cachaças blends de carvalho e amburana ou churrascos  em geral pra envelhecidas no carvalho ou bálsamo 😋,True
"Eu quero um kit...., quanto custa , to em São Paulo",False
Lindíssima princesa,False
Gosto muito,False
Bom de mais amei 👏👏👏,False
Manda aí uma ...,True
Reconhecimento da qualidade da Companheira .e da dedicação e competência de toda Equipe e Família. Parabéns !,False
Fernando Machado,False
Espetacular 👏👏👏👏👍,False
Onde encontrar e o valor?,False
Arrasou!!!! ),False
Incluí o Gustavo Lima rsrsr,False
Muito lindo 👏🏼👏🏼,False
"Diarista morena alvez
Darlene olinda",False
"Larizza Potiguara
Dione Jose",False
Adoro  tomar um cálice,True
Parabéns para todos ! 👏👏👏👏,False
❤️💯,False
eu quero pra dar pra uma pessoa 👩‍💻 muito especial que faz coleções de bebidas 🍹 assim pro dr cleverson  Pamela Oliveira  Sarlete Santos Iara Aloy,True
Amoooo,False
Vania Alves,False
Deu água  na boca,False
"Parabéns, grande abraço.",False
"Fabriccio Petreli Tarosso, Gerson Tarosso",False
"Celso Barbosa Barbosa, o Beretta vai gostar, leva quando abrir a AFAB ...",True
"Mais também uma Ypióca 160, rsrsr! desce fácil. É lá mesmo que irei esse sábado....rsrs",True
Parabéns Coronel. Top famoso,True
O engenho fica em mirassol quero conhecer,True
Mariana Alves Ariane Lima Lucineia Aparecida Garcia Luiz euquero  muinto ganhar,False
Parabéns para a família Sanhaçu!,False
Jefferson Scarano Angelothiago da Silva kkkkkkk,False
Parabéns !!! Felicidades sempre pra vc !!🌹🌹🙏,False
Whaubert Ronne,False
Tenho pinga limeirinha original  para venda,True
Taty Honorato esse abacaxi deve ficar delicioso!,False
Parabéns Wilson desejo muita saúde e sucesso,False
Pingusas😅!Mais canta muito!,False
Essa é das boas.,True
KKKKKKKKKKK...A COUVE NÉ????,False
Vinícius Pagy Ferreira,True
"Mais cade o Gustavo Lima  ficou de fora dessa farra.
Há moleque",False
hum,False
E se colocar zimbro,True
Um achado em todos os sentidos.,False
Esse e top,False
"Bom dia, Alexandre Borges! Inbox.",False
Eu,False
qualidade,False
Infelizmente eles partiram muito cedo,False
Parabéns,False
Hummmm,True
Posta aí sobre a cachaça da quinta feita na cidade do Carmo RJ,True
gato,False
Como e a forma de pagamento ?,False
Chove lá fora e pinga ai dentro !!!!!!,False
"""Ói""  Simone https://www.facebook.com/simone.d.murta?fref=ts, macarrão ÁiÓi kkkkkk",False
Joao Augusto Ribeiro Ruas,True
Sensacional,False
Joao Gabriel Boaventura,True
Anti depressivo e Ansiolítico!,True
Um luxo,False
Olha aí Rafael Viviani te lembra alguém kkkkk,True
Não façam isso comigo....,False
Éu  quero Piracicaba,True
Maravilhosa,False
Queria uma dessas,True
Vivi Pianowisk olha a cachaça ai,True
Obrigado Giovani! Continue conosco! Abraço!,False
Visual fantástico,False
QUANTO CUSTA O KIT.,False
Faltou o Embaixador😁😊,False
Tim tim,False
"Olha isso Marcio Carvalho e Roniele Carvalho, será que fica bom?",False
Adriana Mikaelly,False
O som tá muito bom,False
"huuummmmm, deve ser uma delíciaaaa",True
pra começar bem o dia,True
Parabéns!! Merecido reconhecimento!! 👏👏👏👏,False
To dentro,True
"Gabriel Freitas, Magdafreitas, José Freitas",True
Adoro.,False
Não acredito que perdi 😭,False
Thyago Santos Nadjailson Soares kkkk,False
Douglas Nascimento essa aqui é  pra sexta feira no jogo do Brasil,False
Celia Oliveira,False
Um luxo !,True
Guilherme Willian Pereira,False
"Parabéns família Guaraciba!!!!
Está sim e uma verdadeira cachaça. 
Sucesso vocês merecem.",True
Jéssica Nascimento Zenir Melo Nascimento,False
Matuta,False
"Do barrão, Soledade envelhecida, nega fulo",True
Aí vocês dois são ó casal perfeito mais eu amo vocês Deus abençoe sempre vocês,False
"Eu gosto de Velho Barreiro, más eu não gosto de futebol",False
Wendell Soares,True
linda a música,False
até o dia 14,False
Meu melhor amigo é o copo.kkkk,True
Maurici,False
#CACHAÇAÉCANA,True
Maria Alice Correa,True
John Charles,False
"Eu também gosto de uma pinga boa.
Outro dia,fui visitar um alambique de um amigo meu(pequena fábrica) e tomei uma pinga tão boa mas tão boa,que me deu vontade de morar dentro do litro.....
Eta lasqueira,dia demais !!!!",True
Vagner Kunrath olha isso.,False
"Uma boa Absolut Peppar, por ser a primeira de sabor da familia e a primeira de sabor no Mundo, isso sim faria um belo Esquenta",False
Elisangela De Moraes,False
"Lorena Amorim para indicar os seus amigos é fácil. Você pode clicar no nosso aplicativo na home page, que fica localizado do lado esquerdo, ou na nossa própria página no Facebook, onde o aplicativo também se encontra do lado esquerdo: Promoção Esquenta. Depois é só clicar no botão: Convidar Amigos, selecionar os seus amigos, e clicar no botão: Enviar solicitação. A cada amigo que você INDICAR, ACEITAR participar da nossa promoção você ganha um cupom!",False
Cachaça de banana do Morro Vermelho.,True
Eu quero,False
👏🏻👏🏻👏🏻👏🏻👏🏻,False
"De acordo com a pergunta.....eu acho a Cachaça Tiê prata, um buquê incrível! Um cheirinho de cana agradabilissimo. Porém prefiro bebe-la nos drinks, preparados especialmente por Edna Rosendo!",True
Manda uma dessa pra pra Bahia,True
Leonam Vicente seria nosso trampo?,False
Esses vao ficar bons na coisa,False
Sucesso,False
Obrigado Vicky Andersen !!,False
Onde encontro,False
Fabiana Amaro aceito de presente,True
"Os melhores drinks, só com Spiral Drinkmaker! Muito bom!",True
Minha preferida muito boa,True
Juliana Bastos pode me dá de presente 💁🏻❤️😘,False
Hahahahahahahaha...,False
Hummmm....deve ser muito bom!,True
Vila velha,True
👏🏽👏🏽,False
Não,False
Valeu queridos. Sucesso prolongado.,True
Felipe Vale,True
PARABENS NO LUGAR CERTO AGORA......SUCESSO HOJE E SEMPRE PRA VOCES,False
Olha Dabiana Ayres eu quero uma dessa kkkk,True
Todos do Legião Urbana.,False
Onde fica o local dessa cachaça no Paraná.,True
Adorei  ótimo,False
Ricardo Diniz,True
Amo.  Cachasa.  Dimais,True
O tempo tá bom pra tomar umas,True
Davi Ecleidson Ronis Jorge Rafael Raí é pra vcs !!,False
"Verdade, faltou o Eduardo Costa ....kd ele??",True
Eu já tenho a cachaça...comprei quando estive em Goiânia...,True
Germana,False
O Barato.,False
Eu quero Mozão,True
"Por que ""composta""?",False
Coisa bonita 👏👏👏,False
Ou copo de licor bojudo ou copo de whisky.,True
Um luxo,False
Amanda Alice 🤤,False
"Olá Sulmara Mayse, essa Reserva Especial é envelhecida em bálsamo sim, como pode ver no próprio rótulo.",True
Mata o velho mata de vê ser um delícia,True
Grande coisa porquê não ajuda os moradores de rua que não tem aonde morar come e muito menos dormir coisa de louco,False
Priscilla Basso será que vem a sofrencia junto?,False
Até nome da cachaça é Boa em,True
Arte bonita. Parabéns para o  artista.,False
Gosto da pitu cachaça melhor do Brasil,True
Marlos SilveiraSilva,True
Top,False
"Cadê as ervas!!! Alecrim, tomilho.......",True
Stela Brito Gilson Brito,False
Sei não mas aceito qualquer uma...kkkkkk,True
Essa cachaça queria ganhar no meu niversario,True
Como faz pra compra essa preciosidade ?,True
Quero uma,False
Hummmm..deve ta boa...,True
Nossa muito legal!!,False
ja tomei várias cachaça a ypioca achei a mas melhor. principalmente a envelhecida...,True
"Que eu saiba, aguardente é feita com cana de açúcar.  É como querer fazer tequila de arroz ou whisky de cana. Nada a ver mesmo!!!",True
Triunfo Pernambucana. E da Paraíba a Triunfo Paraibana,True
"Não tinha marca, vai ser ruim",True
Paulo Costa,False
Hoje e Sexta Feira nao bebi nem uma ainda!,False
Claro que sim,True
Qual preco,False
"Sasinhora, meu pai falava muito em Rabo de Galo, que tomava nos buteco de BH na década de 90. Eu doido pra saber perguntei o que era, ele disse; uma mistura de pinga com vinho.",True
Parabéns sucesso,False
Parabéns!!!,False
Onde posso comprar essa cachaça Santo Grau,True
Kit solidão,False
Melhor água ardente do Brasil,True
Que bom ver meu amigo Natanael!!! Bençãos e saúde para você! E claro tintin com a Companheira!!,False
Livia Roberta,False
Já tô aceitando de presente de 18tão Erivania Pamela,False
Eu quero litro,True
Ainda ganho uma cachaça dessa pra levar para nossos shows,True
Parabéns  .O senhor  é  um homem abençoado. O mundo  precisa  de  pessoas  assim. Deus abençoe,False
Aqui na rua da minha casa as mais vendidas são: Velho Barreiro e Caninha 51,True
Stephanie Cristina,True
.by,False
Quando será essa Live?,False
Paiolinho.,True
Cachaçaria Nacional a melhor de Minas  para se comprar uma boa cachaça artesanal  de Minas e Brasil.,True
Álder Gabriel,False
kkkkkkkkkkk,False
Boa....,True
Todas!,True
So to vendo uma 😅,False
Leonel Marcos Oliveira Vinicius Motta Oliveira vamos jogar essa dama ?,False
"Jociane Felicio
Tailine Roveri",False
Agora vai,False
Bia Karolaine,False
"Sou cliente  de vcs , tenho algumas garrafas em casa..",True
Sucesso,False
Quero ganharrrr Valéria Santos Marcia Anndreotti,False
"Luis Costa
Jeany Souto Barreto",False
Patricia Marques,True
Cachaça Cachoeira... de Salinas....,True
Chique,False
Deu água na boca...vou fazer,True
Oiiii,False
Cachaça Chic!,True
Tia Jucelia Costa quase acertamos..😁,False
Um luxo,False
Junior Luis,False
Fábio Santos Cássio Gomes Jader Gomes José Conan Filho,False
Viva Jandaia!,True
Armazém Vieira tradicional e Da Quinta.,True
Se chanar Eduarda Costa estraga a live.,False
Não gosto de cachaça com amburana.,True
já comprei o cabaré ok,False
Só uma perguntinha foi concurso de cachaça em Coritiba o molusco foi?,True
