text,labels_int,labels,llama3,mistral,is_opinative,gemma2,gpt-3.5-turbo-0125,cachaca
"Como e quando a mulher toma cachaça?
Elas tomam cachaça e destilados geralmente de maneira elegante e sempre apreciando os aromas e sabores da bebida e os locais preferidos são as casas de drinques e nos encontros nas casas dos… https://t.co/qBDeG0hmZk https://t.co/FZhLamPVZs",1.0,neutral,negative,positive,True,neutral,positive,true
"Licor, Cocktail e Aperitivos
podem ser mais uma opção de alguns produtores de cachaça mais agressivos. São bebidas na sua maioria de sabores adocicados, com misturas as mais diversas e criativas, possibilitando o consumidor… https://t.co/Dgc4cFrelN https://t.co/0xzjARoHUt",1.0,neutral,neutral,positive,True,neutral,positive,true
Cachaça Havana Frete Grátis | Empório Cachaça Canela-de-Ema https://t.co/BW4M3L5wmq,1.0,neutral,neutral,neutral,False,neutral,neutral,true
"O que é cachaça orgânica e Por quê?
Cachaça orgânica é a cachaça produzida sem uso de fertilizantes químicos e agrotóxicos no plantio da sua matéria prima que é a cana-de-açúcar, conforme lei 10.831, de 23 de dezembro 2003. Por que… https://t.co/ncTrp1w0h9 https://t.co/HPJPfrndoo",1.0,neutral,neutral,neutral,True,neutral,positive,true
"BEBA E SE SURPREENDA
https://t.co/s8pece4oet em Empório Cachaça Canela-de-Ema https://t.co/JUR4UNHA2A",1.0,neutral,neutral,positive,False,positive,positive,true
"FRETE GRÁTIS PARA TODO O BRASIL
https://t.co/s8pece4oet https://t.co/uwlfDxkBuE",1.0,neutral,positive,positive,False,positive,positive,none
Caipirinha Cachaça+Limão+Açúcar+Prosa https://t.co/8Cg2J84QZM https://t.co/5Lmfs4LuTm,1.0,neutral,neutral,positive,False,positive,neutral,true
Acabou de publicar uma foto https://t.co/YVegq7JpQW,1.0,neutral,neutral,neutral,False,neutral,neutral,none
Acabou de publicar uma foto https://t.co/DE0dVIKa5J,1.0,neutral,neutral,neutral,False,neutral,neutral,false
#rum #rumflorida #floridarum #destilariasapucaia #cachacasapucaia https://t.co/vEAh7ZKjrV,1.0,neutral,neutral,neutral,False,neutral,neutral,true
"Cachaca Sapucaia na wmcadenheads

#Repost @Lordofthedrams
• • • • • •
#cachaça @cachacasapucaia bottled by wmcadenheads with a little help from Sabor. Now available all around Europe. #rhum #rum #brazil #saopaulo… https://t.co/F0tJFtusIA",1.0,neutral,neutral,positive,False,positive,positive,true
"Sapucaia com 4 rótulos entre as melhores. Agradecemos pelos votos! #Repost cupuladacachacaoficial
• • • • • •
Está no ar o resultado da 1ª fase do IV Ranking da Cúpula da Cachaça.
Vai lá ver!
Link na… https://t.co/9wHgOBkiha",1.0,neutral,positive,positive,True,positive,positive,true
Rum Velho Flórida.  #floridarum #rum @rumvelho #rumenvelhecido #brazilianrum #rumdobrasil #florida #sapucaia #cachacasapucaia  foto: @FERNANDOAR https://t.co/4h0buoWQia,1.0,neutral,neutral,positive,False,neutral,neutral,true
Mais uma palestra e debate com professores e alunos da anhangueraedu em Leme SP.  Falamos sobre bebidas e especialmente sobre cachaça.  Com miltonlimaoficial carolcorrea_ana em Anhanguera Educacional https://t.co/kVr1HTSHKz,1.0,neutral,neutral,positive,False,neutral,positive,true
"Sapucaia Real  plenitude única de sabor #cachacasapucaia
#sapucaiareal18anos

#Repost m.u.s.taste
• • • • • •
unique fullness of taste

 #mustaste #cachaca #cachacaenvelhecida #sapucaiareal #brasil #barrelaged… https://t.co/i3bJGKFYck",1.0,neutral,positive,positive,True,positive,neutral,true
"#Repost @barmaniaeventos (get_repost)
・・・
Adicione especiarias no seu gin e curta a experiência. willaguiar1 alexandrebertin1@floridadrygin helorbarros
🤩🍸🍹😍 .
.
. 
#Barmania #coqueteis #caipirinha… https://t.co/vuy4yF4XP2",1.0,neutral,positive,positive,False,positive,positive,false
"#Repost donaserraemporio (get_repost)
・・・
“Sapucaia” é uma árvore majestosa, típica da Mata Atlantica. Produz sombra farta e castanhas utilizadas pelos índios desde a época do Brasil… https://t.co/YRPmUHoCzP",1.0,neutral,neutral,neutral,True,positive,positive,false
"#florida #floridagin #floridadrygin #cachacasapucaia #destilariasapucaia #pub77

Destilado em nosso alambique, com botânicos naturais e todo o cuidado de um produto de baixa escala de produção. Com alcool de... https://t.co/gZRVTLdMnC",1.0,neutral,positive,positive,True,positive,positive,true
"#Repost @cachacasapucaia (get_repost)
・・・
#Tradição é um #drink da #carta do #restaurantejamile… https://t.co/Svy219rXlg",1.0,neutral,neutral,neutral,False,neutral,neutral,true
"a Sapucaia estará em Campinas neste final de semana, dia 16 e 17 no shopping dom Pedro. Passe por lá para conhecer. https://t.co/3Oa6WEeybH",1.0,neutral,neutral,positive,True,positive,positive,true
"Domingo próximo, dia 13/8 tem apresentação da Esquadrilha da Fumaça na Academia da Força Aérea, num dia muito... https://t.co/S7qJaO9RE0",1.0,neutral,neutral,positive,False,positive,positive,none
"#Repost @devotosdacachaca (@get_repost)
・・・
Uma #cachacasapucaia muito especial, com garrafa art decó histórica e... https://t.co/nCKHVQbAmW",1.0,neutral,neutral,neutral,False,positive,neutral,true
https://t.co/ds4NFpfzsU,1.0,neutral,neutral,positive,False,negative,neutral,none
"O Restaurante Cesar recebeu no último sábado, 18, o pessoal do ""BMW Moto Clube"" numa manhã com muito sol, música,... https://t.co/Xrjf3LYwf2",1.0,neutral,neutral,positive,True,neutral,positive,none
"Passeios do Centro de Pirassununga ao Alambique Sapucaia, olha que legal ! https://t.co/pJEzMfx00d",2.0,positive,positive,positive,True,positive,positive,true
Sapucaia Blue O barman Derivan de Souza (Mestre Derivan) ensina a fazer um lindo drink utilizando cachaça... https://t.co/R1tJxzfDfO,1.0,neutral,positive,positive,False,positive,positive,true
"receita de hoje com Sapucaia Cristal . 

Ingredientes

50 ml de Sapucaia florida cristal
3 morangos
3 cubos de... https://t.co/MjsWLBQ1O9",1.0,neutral,neutral,neutral,False,neutral,neutral,true
#cajuamigo do Barnabe Restaurante com a Sapucaia cristal. Nessa semana tem 30% de desconto.  #cachacaweekbr... https://t.co/XZ4WZuFJk5,1.0,neutral,positive,positive,False,positive,positive,true
Em 1933 era fundada a Cachaça Sapucaia em Pindamonhangaba.  Para ter uma idéia de como eram as coisas naquela... https://t.co/9cMiQyAY06,1.0,neutral,neutral,neutral,False,neutral,neutral,true
Repost from barhigienopolis toprankrepost #TopRankRepost Neste sábado dia 17/9 o Mestre da… https://t.co/KzFQyTjVcU,1.0,neutral,neutral,neutral,False,neutral,neutral,none
o Mestre da coquetelaria Kascão Oliveira Lima vai pilotar neste sabado 17 as Caipirinhas e Cachaças Sapucaia no... https://t.co/Y1XfYVsJlZ,1.0,neutral,positive,positive,True,positive,positive,true
https://t.co/PkRuNpVC30,1.0,neutral,neutral,neutral,False,negative,neutral,true
Tudo pronto no #rotadoacaraje degustação sapucaia e caipirinhas especiais. #cachacasapucaia… https://t.co/VIfywscljr,1.0,neutral,positive,positive,True,positive,positive,true
"Por trás de toda grande caipirinha, existe sempre uma grande cachaça. Paulistinha!󾦂󾌧󾮟󾮞 #Cachaçaeciadistribuição... https://t.co/9BDgWFkwY3",2.0,positive,positive,positive,True,positive,positive,true
https://t.co/WhpdGfbBQ3,1.0,neutral,neutral,negative,False,neutral,neutral,true
https://t.co/s8jVlvgOK5,1.0,neutral,neutral,negative,False,neutral,neutral,true
"Caipirinha Sapucaia do Praça São Lourenço #Repost quintaldacachaca 
Já está disponível no nosso canal… https://t.co/PM8zQC7FyH",1.0,neutral,neutral,positive,False,positive,neutral,true
https://t.co/hihKmixODu,1.0,neutral,neutral,negative,False,negative,neutral,none
Nossas cachaças lá sempre...cachacasapucaia #cachaca #sapucaia #cachacasapucaia #rotadoacaraje @ Rota… https://t.co/vCPeyi1KAn,1.0,neutral,neutral,positive,True,neutral,neutral,true
Baixe o arquivo para imprimir sua carta de cachaças! http://t.co/MpObmmBDWv http://t.co/Rc7VL00Rmo,1.0,neutral,positive,neutral,True,positive,neutral,true
Felipe Jannuzzi conta como foi o Tales of the Cocktail http://t.co/oj5xQilwpE,1.0,neutral,neutral,neutral,False,neutral,neutral,true
"http://t.co/vEdtIQ3HsP,br #sapucaia #pindamonhangaba #cachaca #rotulo @ Cachaça Sapucaia https://t.co/5teQDKO8iP",1.0,neutral,neutral,neutral,False,neutral,neutral,true
Agora já entregamos na Alemanha. Podem repassar aos conhecidos alemães..... http://t.co/W0Im1QnIoS,1.0,neutral,neutral,neutral,False,positive,positive,true
Região http://t.co/5NYbmrWLiO,1.0,neutral,neutral,neutral,False,neutral,neutral,none
http://t.co/rU9w4WeRs1,1.0,neutral,neutral,negative,False,neutral,neutral,true
"Caso esteja na região dos Jardins , pode comprar a Sapucaia na Casa Santa Luzia. Passe por lá e leve a Sapucaia... http://t.co/YlWWbJmNsb",1.0,neutral,neutral,positive,True,neutral,neutral,true
Em São Paulo - SP não deixe de reservar sua participação. Sapucaia Real 18 anos por lá...... http://t.co/hHlHSPRjLt,1.0,neutral,neutral,positive,True,positive,neutral,true
RT @Artedacachaca: Um brinde com Sapucaia Velha!!! http://t.co/0rgXSFoftM http://t.co/ZWrTbI2OGC,1.0,neutral,positive,positive,False,positive,neutral,true
Cachaça Sapucaia no evento com a Sapucaia Velha Reserva da Familia. Venham conhecer. http://t.co/RDAxmhA33G,1.0,neutral,positive,positive,True,positive,positive,true
O potencial da cachaça no mercado de charutos http://t.co/XuiXDAkAgd,1.0,neutral,neutral,neutral,True,neutral,neutral,true
http://t.co/9tD4iL2XrV,1.0,neutral,neutral,neutral,False,neutral,neutral,none
http://t.co/8ncKP0BWMx http://t.co/Ue4LtwvryD,1.0,neutral,neutral,neutral,False,neutral,neutral,none
"@SenzalaSeattle Gostaria que recebesse aí nossa Cachaça Senzala, que faria muito sucesso. Há algum intercambio com o Brasil para deixarmos?",1.0,neutral,positive,positive,True,positive,positive,true
Tropicália http://t.co/bt07PGI9 via @cheftvbrasil,1.0,neutral,neutral,neutral,False,neutral,neutral,none
"Uma verdadeira cachaça mineira !!!

#cachacariasp #cachacarianocopan #centrosp #cachaca #cachaçaartesanal #edificiocopan #copan #kitpresentes #cmo #liveexperience #minas #bh #mineiros #sp #primeira https://t.co/gnGgtqaa1i",1.0,neutral,positive,positive,True,positive,positive,true
"🛵Entregamos rapidinho !!

📞Mande um Zap, e garanta já suas miniaturas !!

#cachacariasp #cachacarianocopan #centrosp #cachaca #cachaçaartesanal #edificiocopan #copan #liveexperience #kit #miniaturas #minas #rj #sampa #sul #cmo #weberhaus #valeverde https://t.co/N3AgkWvvT4",1.0,neutral,positive,positive,False,positive,positive,true
"Se liga nos nossos foliões:
@cachacahavana
@alambiqueprincesaisabel
@portodoviana
@cachacavaleverde
@cachacacompanheira
@cachacadaquinta_oficial
@cachaca_tie
🏵#DicadoMestre
#cachacariasp #cachacarianocopan #centrosp #liveexperience #cachaçaartesanal #copan #carnaval2021 https://t.co/D1P1oXaGYI",1.0,neutral,neutral,positive,False,positive,neutral,true
"É isso aí!!
Clientes da Grande São Paulo recebem seu pedido em até 1 dia útil.🙌
Compre hoje e receba no máximo amanhã 😁

#cachaça #cachaçaria #centrosp #copan #delivery #entrega https://t.co/AsWeD41jnR",1.0,neutral,positive,positive,True,positive,positive,true
"Nunca vou cansar de ver essas prateleiras cheias de cachaça 😍
Oferecer mais de 300 rótulos - aqui na loja! -  dentre os 4 mil existentes é um motivo de orgulho imenso.

#cachaça #cachaçaria #centrosp #copan https://t.co/OFbeNzMv9Y",1.0,neutral,positive,positive,True,positive,positive,true
"A Cachaça Santo Grau foi criada a partir de uma rigorosa seleção dos mais tradicionais e menores engenhos históricos do país. Valorizando cada origem e sua história, a marca aposta na tradição passada de geração em geração através dos mestres alambiqueiros e suas famílias. https://t.co/QEs34IJOLc",1.0,neutral,positive,positive,True,positive,positive,true
"A data foi escolhida por marcar o início da safra de cana-de-açúcar no estado e é comemorada desde 2001.
👏👏👏👏👏👏👏

#cachaça #cachaçaria #cachaçademinas #cachaçamineira https://t.co/4u9NgjsPAP",1.0,neutral,positive,positive,True,neutral,neutral,true
"🔝Cachaça Espírito de Minas | São Tiago/MG
⠀
Uma cachaça macia e levemente amadeirada, envelhecida em barris de Carvalho e Jequitibá.
⠀⠀
💰R$ 85

Peça por Direct ou WhatsApp (11) 3129-8592

#cachaça #espiritodeminas #cachaçamineira #centrosp #copan #cachaçaria https://t.co/Dj9gZqHOQy",1.0,neutral,neutral,positive,False,neutral,positive,true
"No Dia do Beijo, nada melhor do que recomendar a excepcional Cachaça Primeiro Beijo.
Produzida na Fazenda Alegria em Alterosa, sul de Minas, é descansada em toneis de óleo bálsamo.
Passa lá no site e garante a sua 😘
#cachaça #copan #primeirobeijo #diadobeijo #cachaca https://t.co/6kNDc444QH",1.0,neutral,positive,positive,True,positive,positive,true
"Entrando no ritmo do fim de semana, aumente o volume com Amarula.
Peça já: https://t.co/T5NbwIoq1L
#BebidaOnline... https://t.co/6SzlUYpjlB",1.0,neutral,positive,positive,True,positive,positive,true
"Como começar bem o fim de semana.
https://t.co/T5NbwIoq1L
#BebidaOnline #drinks #whisky #bebidas #BeeJack... https://t.co/CU6JKcB2Ng",1.0,neutral,neutral,neutral,False,positive,positive,true
#greygoosevodka #greygoose #vodka Extraordinário https://t.co/ZpS9wZvKF8,1.0,neutral,positive,positive,False,positive,positive,false
"Licor Magnum Cream Originale 750ml - Magnum Cream Liqueur™, é uma mistura dos melhores whiskys escocêses. É um ... https://t.co/HOHyIU7Jre",1.0,neutral,positive,positive,True,positive,neutral,false
https://t.co/mAyn8Ov8PE,1.0,neutral,neutral,positive,False,negative,neutral,none
Whisky Jack Daniels Honey 1000ml compre na Bebida Online com o melhor preço do mercado. 10% de Desconto no Boleto... https://t.co/76r8BNmdo2,1.0,neutral,positive,positive,False,positive,positive,false
"Que tal começar a noite com Vodka Skyy?
#vodka #skyy #bebidaonline

Link:... https://t.co/coXjtsD7d6",1.0,neutral,positive,positive,True,neutral,positive,false
"Compre Vodka Absolut 1000ml na Bebida Online por apenas R$ 79,90 em até 12x no cartão.

Link:... https://t.co/FcNpMFJYRV",1.0,neutral,neutral,positive,False,positive,positive,false
Rita de La Rosa é o ingrediente indispensável na história do drink mais famoso do mundo: Margarita. Ela era uma... http://t.co/2HThnj8n0X,1.0,neutral,positive,positive,True,positive,positive,false
"Sempre é dia de comemorar #skyy #vodka #bebidaonline
http://t.co/xYGZkRnhUB http://t.co/nhPhgWjAM3",2.0,positive,positive,positive,False,positive,positive,false
http://t.co/4OSjiVHdq7,1.0,neutral,neutral,negative,False,positive,neutral,none
"Whisky Jack Daniel´s 1000ml #jackdaniels
Compre agora -... http://t.co/CaW5wq4L4s",1.0,neutral,neutral,positive,False,positive,neutral,false
"Tequila Jose Cuervo Clasico Blanco 750ml
#tequila #silver #bebida #drinks #amigos #fimdeano
Link:... http://t.co/ll6sPLTS0T",1.0,neutral,neutral,neutral,False,neutral,neutral,false
"Ande de cabeça erguida. Vamos acompanhá-lo.

Link:... http://t.co/zQFk5S0Gpp",1.0,neutral,positive,positive,True,positive,positive,none
http://t.co/GiBBHs05j7,1.0,neutral,neutral,positive,False,neutral,neutral,none
"Vodka Crystal Head #compre #bebidaonline

Um mistério arqueológico controverso, 13 cabeças de cristal foram... http://t.co/6OdZOIlQPX",1.0,neutral,neutral,neutral,True,neutral,neutral,false
"Sozinho ou Acompanhado, Jack Daniel´s  sempre a melhor escolha!

Whisky Jack Daniel´s 1000ml por apenas R$ 98,90... http://t.co/vsibggkQpc",1.0,neutral,positive,positive,True,positive,positive,true
"Um brinde a temporada!
http://t.co/1l9oUA1U9v #vodka #finlandia http://t.co/A12dMgyzMS",1.0,neutral,positive,positive,False,positive,positive,false
Sente o flow http://t.co/COOoIXGHDe #redbull http://t.co/MvieicsZXr,1.0,neutral,neutral,positive,False,positive,neutral,false
"Projeto inspirado em naturalidade...

Por apenas R$ 114,90 -... http://t.co/lF5QlGvDA2",1.0,neutral,neutral,positive,False,positive,positive,none
"Quando o final de semana chegar mais cedo, é motivo para celebrar...

Compre na Bebida Online - R$ 148,90 -... http://t.co/8GUxOxvtG0",1.0,neutral,positive,positive,True,positive,positive,true
"Tá triste porque o FDS acabou???

http://t.co/PXN20z0NTj http://t.co/jVuN5SnQmq",1.0,neutral,negative,negative,True,negative,negative,none
"Começa a semana a abrir portas...

http://t.co/5QOF3KWun2 http://t.co/FqDOcPJeaq",1.0,neutral,positive,neutral,False,positive,positive,none
"Antecipe suas compras de Fim de Ano, compre agora na Bebida Online http://t.co/T5NbwIG0Tj http://t.co/wqYS5W5C0w",1.0,neutral,neutral,positive,False,positive,positive,true
"A inspiração vem de dentro! #Jameson
http://t.co/qeARyljF2T http://t.co/WYzIDkQNYq",2.0,positive,positive,positive,True,positive,positive,false
"Vodka Belvedere Citrus, Belvedere Pink Grapefruit, Belvedere Black Raspberry compre com os melhores preços na... http://t.co/99QGBX6sHG",1.0,neutral,neutral,neutral,False,neutral,positive,false
"Que tal começar tomar um bom Whisky para esquentar esse frio?
Whisky Buchanan´s - por apenas R$ 116,60 em até 6x... http://t.co/6tfYS7t4qX",1.0,neutral,neutral,positive,True,positive,positive,true
"Compre Vinho Cordier Prestige Tinto 750 ml. por apenas R$ 115,80 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vinho Angheben Touriga Nacional 750 ml. por apenas R$ 52,50 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,true
"Compre Tequila El Charro Silver 750 ml. por apenas R$ 49,30 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Whisky Chivas Regal 25 anos 700 ml. por apenas R$ 1.258,70 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,neutral,positive,false
"Compre Vinho Terrazas Reserva Malbec 750 ml. por apenas R$ 71,80 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Licor Gabriel Boudier Creme de Cassis 700 ml. por apenas R$ 92,20 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,neutral,positive,true
"Compre Vinho Finca La Florencia Chardonnay 750 ml. por apenas R$ 34,40 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vodka Level 1000 ml. por apenas R$ 148,90 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,neutral,positive,false
"Compre Vinho Uxmal Malbec 750 ml. por apenas R$ 32,10 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vinho Salton Volpi Chardonnay 750 ml. por apenas R$ 33,20 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Espumante Chandon Brut Rose Baby 187 ml. por apenas R$ 21,80 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,neutral,positive,false
"Compre Espumante Boutique Moscatel 750 ml. por apenas R$ 19,50 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,true
"Compre Vinho Periquita Reserva Tinto 750 ml. por apenas R$ 47,10 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Whisky Dimple 15 Anos 1000 ml. por apenas R$ 177,90 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,neutral,positive,false
"Compre Cerveja Paulistania Premium 600 ml. por apenas R$ 9,10 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,neutral,positive,false
"Compre Vinho Cordier Prestige Tinto 750 ml. por apenas R$ 115,80 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,true
"Compre Vinho De Martino Sauvignon Blanc 375 375 ml. por apenas R$ 41,30 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vinho Miolo Cuvee Giuseppe Chardonnay 750 ml. por apenas R$ 74,00 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vinho Zohar Cabernet Sauvignon 750 ml. por apenas R$ 45,00 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vinho Terrazas Chardonnay 750 ml. por apenas R$ 41,30 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vinho Marchigue Reserve Cabernet Franc 750 ml. por apenas R$ 67,50 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Whisky Whyte %26 Mackay The Thirteen 1000 ml. por apenas R$ 156,50 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vinho Los Haroldos Trebbiano Chardonnay 750 ml. por apenas R$ 20,60 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vodka Grey Goose L Orange 750 ml. por apenas R$ 117,90 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Whisky Ballantines 21 anos 700 ml. por apenas R$ 491,10 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,neutral,positive,false
"Compre Vinho Trivento Amado Sur Malbec 750 ml. por apenas R$ 57,90 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vinho Stickleback Heartland Red 750 ml. por apenas R$ 57,90 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,neutral,positive,false
"Compre Vinho Dom Izidro Tempero Tinto Doce (P) 750 ml. por apenas R$ 22,90 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,true
"Compre Kit Steinhaeger Doble W Gold + 2 copos 600 ml. por apenas R$ 107,20 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,true
"Compre Espumante Freixenet Cordon Negro 750 ml. por apenas R$ 56,80 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vinho Navarro Correas Ultra Tinto Trivarietal 750 ml. por apenas R$ 146,90 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,neutral,positive,false
"Compre Vodka Finlandia Tangerine 1000 ml. por apenas R$ 70,70 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vinho Muga Reserva Rioja 750 ml. por apenas R$ 94,30 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Vinho IL Segreto Organic Cabernet Sauvignon 750 ml. por apenas R$ 45,00 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,false
"Compre Espumante Do Lugar Moscatel 750 ml. por apenas R$ 34,40 ou 6x sem juros na Bebida Online http://t.co/Nuj5gLwF",1.0,neutral,neutral,positive,False,positive,positive,true
